"Species","Family","Status","Criteria","Population","Description_Year","Country"
"Chalconotus cupreus","","NE","","Unkown",NA,""
"Neosisyphus angulicollis","","NE","","Unkown",NA,""
"Sisyphus latus","","NE","","Unkown",NA,""
"Sisyphus eburneus","","NE","","Unkown",NA,""
"Sisyphus nr","","NE","","Unkown",NA,""
"Sisyphus costatus","","NE","","Unkown",NA,""
"Pseudopedaria grossa","","NE","","Unkown",NA,""
"Heliocopris dianae","","NE","","Unkown",NA,""
"Copris phungae","","NE","","Unkown",NA,""
"Copris carmelita","","NE","","Unkown",NA,""
"Diastellopalpus tridens","SCARABAEIDAE","DD","","Unknown",1888,"Kenya, Malawi, United Republic of Tanzania"
"Diastellopalpus noctis","","NE","","Unkown",NA,""
"Onthophagus densipilis","","NE","","Unkown",NA,""
"Onthophagus fuscidorsis","","NE","","Unkown",NA,""
"Onthophagus fuscatus","","NE","","Unkown",NA,""
"Onthophagus deplanatus","","NE","","Unkown",NA,""
"Onthophagus rufopygus","","NE","","Unkown",NA,""
"Onthophagus strictestriatus","","NE","","Unkown",NA,""
"Onthophagus liberianus","","NE","","Unkown",NA,""
"Onthophagus atronitidus","","NE","","Unkown",NA,""
"Onthophagus depilis","","NE","","Unkown",NA,""
"Onthophagus ieti","","NE","","Unkown",NA,""
"Onthophagus synceri","","NE","","Unkown",NA,""
"Onthophagus curvifrons","","NE","","Unkown",NA,""
"Onthophagus semiviridis","","NE","","Unkown",NA,""
"Onthophagus foulliouxi","","NE","","Unkown",NA,""
"Onthophagus laeviceps","","NE","","Unkown",NA,""
"Onthophagus mucronatus","","NE","","Unkown",NA,""
"Onthophagus atridorsis","","NE","","Unkown",NA,""
"Onthophagus feai","","NE","","Unkown",NA,""
"Onthophagus bidens","","NE","","Unkown",NA,""
"Drepanocerus caelatus","","NE","","Unkown",NA,""
"Tiniocellus spinipes","","NE","","Unkown",NA,""
"Fulgoroidea juvenile","","NE","","Unkown",NA,""
"Heteroptera juvenile","","NE","","Unkown",NA,""
"Anthene larydas","","NE","","Unkown",NA,""
"Libythea labdaca","","NE","","Unkown",NA,""
"Gnophodes parmeno","","NE","","Unkown",NA,""
"Gnophodes chelys","","NE","","Unkown",NA,""
"Melanitis leda","","NE","","Unkown",NA,""
"Melanitis libya","","NE","","Unkown",NA,""
"Elymniopsis bammakoo","","NE","","Unkown",NA,""
"Bicyclus xeneas","","NE","","Unkown",NA,""
"Bicyclus evadne","NYMPHALIDAE","LC","","Unknown",1779,"Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Liberia, Nigeria, Sierra Leone"
"Bicyclus ephorus","","NE","","Unkown",NA,""
"Bicyclus zinebi","","NE","","Unkown",NA,""
"Bicyclus uniformis","","NE","","Unkown",NA,""
"Bicyclus procora","","NE","","Unkown",NA,""
"Bicyclus nobilis","","NE","","Unkown",NA,""
"Bicyclus taenias","","NE","","Unkown",NA,""
"Bicyclus vulgaris","","NE","","Unkown",NA,""
"Bicyclus dorothea","","NE","","Unkown",NA,""
"Bicyclus sandace","","NE","","Unkown",NA,""
"Bicyclus sambulos","","NE","","Unkown",NA,""
"Bicyclus sangmelinae","","NE","","Unkown",NA,""
"Bicyclus auricruda","","NE","","Unkown",NA,""
"Bicyclus sylvicolus","","NE","","Unkown",NA,""
"Bicyclus abnormis","","NE","","Unkown",NA,""
"Bicyclus safitza","","NE","","Unkown",NA,""
"Bicyclus funebris","","NE","","Unkown",NA,""
"Bicyclus istaris","","NE","","Unkown",NA,""
"Bicyclus madetes","","NE","","Unkown",NA,""
"Bicyclus martius","NYMPHALIDAE","LC","","Unknown",1793,"Angola, Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Liberia, Nigeria, Sierra Leone, South Sudan, Sudan, Togo, Uganda"
"Hallelesis halyma","","NE","","Unkown",NA,""
"Henotesia peitho","","NE","","Unkown",NA,""
"Charaxes varanes","","NE","","Unkown",NA,""
"Charaxes fulvescens","","NE","","Unkown",NA,""
"Charaxes candiope","NYMPHALIDAE","LC","","Unknown",1824,"Angola, Benin, Botswana, Burkina Faso, Cameroon, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Ethiopia, Gambia, Ghana, Guinea, Kenya, Malawi, Mozambique, Namibia, Nigeria, Sao Tomé and Principe, Senegal, Sierra Leone, South Africa, South Sudan, Sudan, Swaziland, United Republic of Tanzania, Togo, Yemen, Zambia, Zimbabwe"
"Charaxes protoclea","","NE","","Unkown",NA,""
"Charaxes boueti","","NE","","Unkown",NA,""
"Charaxes cynthia","","NE","","Unkown",NA,""
"Charaxes lucretius","","NE","","Unkown",NA,""
"Charaxes castor","","NE","","Unkown",NA,""
"Charaxes brutus","","NE","","Unkown",NA,""
"Charaxes pollux","","NE","","Unkown",NA,""
"Charaxes tiridates","","NE","","Unkown",NA,""
"Charaxes bipunctatus","","NE","","Unkown",NA,""
"Charaxes numenes","","NE","","Unkown",NA,""
"Charaxes zingha","","NE","","Unkown",NA,""
"Charaxes eupale","","NE","","Unkown",NA,""
"Charaxes anticlea","","NE","","Unkown",NA,""
"Charaxes etheocles","NYMPHALIDAE","LC","","Unknown",1777,"Angola, Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Gabon, Ghana, Guinea, Kenya, Liberia, Nigeria, Senegal, Sierra Leone, South Sudan, Sudan, United Republic of Tanzania, Togo, Uganda, Zambia"
"Charaxes pleione","","NE","","Unkown",NA,""
"Charaxes paphianus","","NE","","Unkown",NA,""
"Charaxes zelica","","NE","","Unkown",NA,""
"Euxanthe eurinome","","NE","","Unkown",NA,""
"Palla violinitens","NYMPHALIDAE","LC","","Unknown",1890,"Angola, Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Equatorial Guinea, Ghana, Guinea, Liberia, Nigeria, Uganda"
"Palla decius","","NE","","Unkown",NA,""
"Palla ussheri","","NE","","Unkown",NA,""
"Palla publius","","NE","","Unkown",NA,""
"Kallima rumia","","NE","","Unkown",NA,""
"Antanartia delius","","NE","","Unkown",NA,""
"Hypolimnas anthedon","","NE","","Unkown",NA,""
"Hypolimnas salmacis","","NE","","Unkown",NA,""
"Protogoniomorpha parhassus","","NE","","Unkown",NA,""
"Junonia stygia","","NE","","Unkown",NA,""
"Byblia anvatara","","NE","","Unkown",NA,""
"Ariadne enotrea","","NE","","Unkown",NA,""
"Cymothoe fumana","","NE","","Unkown",NA,""
"Cymothoe egesta","","NE","","Unkown",NA,""
"Cymothoe aubergeri","","NE","","Unkown",NA,""
"Cymothoe caenis","NYMPHALIDAE","LC","","Unknown",1773,"Angola, Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Liberia, Nigeria, Sierra Leone, Togo, Uganda, Zambia"
"Cymothoe althea","","NE","","Unkown",NA,""
"Cymothoe jodutta","","NE","","Unkown",NA,""
"Cymothoe mabillei","","NE","","Unkown",NA,""
"Catuna oberthueri","NYMPHALIDAE","LC","","Unknown",1894,"Cameroon, Central African Republic, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Liberia, Nigeria, Sierra Leone, United Republic of Tanzania"
"Catuna angustatum","","NE","","Unkown",NA,""
"Euryphura chalcis","","NE","","Unkown",NA,""
"Hamanumida daedalus","","NE","","Unkown",NA,""
"Aterica galene","","NE","","Unkown",NA,""
"Euriphene barombina","","NE","","Unkown",NA,""
"Euriphene simplex","","NE","","Unkown",NA,""
"Euriphene aridatha","","NE","","Unkown",NA,""
"Euriphene gambiae","","NE","","Unkown",NA,""
"Euriphene ampedusa","","NE","","Unkown",NA,""
"Euriphene atossa","","NE","","Unkown",NA,""
"Euriphene doriclea","","NE","","Unkown",NA,""
"Bebearia tentyris","","NE","","Unkown",NA,""
"Bebearia absolon","","NE","","Unkown",NA,""
"Bebearia zonara","","NE","","Unkown",NA,""
"Bebearia mandinga","","NE","","Unkown",NA,""
"Bebearia abesa","","NE","","Unkown",NA,""
"Bebearia mardania","","NE","","Unkown",NA,""
"Bebearia cocalia","","NE","","Unkown",NA,""
"Bebearia sophus","","NE","","Unkown",NA,""
"Bebearia phantasina","","NE","","Unkown",NA,""
"Bebearia cutteri","","NE","","Unkown",NA,""
"Euphaedra medon","","NE","","Unkown",NA,""
"Euphaedra gausape","","NE","","Unkown",NA,""
"Euphaedra xypete","","NE","","Unkown",NA,""
"Euphaedra hebes","","NE","","Unkown",NA,""
"Euphaedra diffusa","","NE","","Unkown",NA,""
"Euphaedra crockeri","","NE","","Unkown",NA,""
"Euphaedra cyparissa","","NE","","Unkown",NA,""
"Euphaedra themis","NYMPHALIDAE","LC","","Unknown",1807,"Benin, Cameroon, Côte d'Ivoire, Ghana, Guinea, Nigeria, Sierra Leone, Togo"
"Euphaedra minuta","","NE","","Unkown",NA,""
"Euphaedra janetta","","NE","","Unkown",NA,""
"Euphaedra ceres","","NE","","Unkown",NA,""
"Euphaedra phaethusa","","NE","","Unkown",NA,""
"Euphaedra inanum","","NE","","Unkown",NA,""
"Euphaedra francina","","NE","","Unkown",NA,""
"Euphaedra zampa","","NE","","Unkown",NA,""
"Euphaedra perseis","","NE","","Unkown",NA,""
"Euphaedra harpalyce","","NE","","Unkown",NA,""
"Euphaedra eupalus","NYMPHALIDAE","LC","","Unknown",1781,"Côte d'Ivoire, Ghana, Guinea, Liberia, Sierra Leone, Togo"
"Lachnoptera iole","","NE","","Unkown",NA,""
"Celaenorrhinus galenus","","NE","","Unkown",NA,""
"Accipiter tachiro","ACCIPITRIDAE","LC","","Decreasing",1800,"Angola, Botswana, Burundi, The Democratic Republic of the Congo, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Rwanda, Somalia, South Africa, South Sudan, Swaziland, United Republic of Tanzania, Uganda, Zambia, Zimbabwe, Lesotho"
"Terpsiphone viridis","MONARCHIDAE","LC","","Stable",1776,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Djibouti, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Malawi, Mali, Mauritania, Mozambique, Namibia, Niger, Nigeria, Oman, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Swaziland, United Republic of Tanzania, Togo, Uganda, Yemen, Zambia, Zimbabwe"
"Anthus cinnamomeus","","NE","","Unkown",NA,""
"Myrmecocichla formicivora","MUSCICAPIDAE","LC","","Stable",1818,"Botswana, Lesotho, Namibia, South Africa, Swaziland, Zimbabwe"
"Riparia cincta","HIRUNDINIDAE","LC","","Increasing",1783,"Angola, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, The Democratic Republic of the Congo, Côte d'Ivoire, Eritrea, Ethiopia, Gabon, Ghana, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, South Sudan, Sudan, Swaziland, United Republic of Tanzania, Togo, Uganda, Zambia, Zimbabwe, Egypt, Gambia, Mali, Niger, Sao Tomé and Principe, Saudi Arabia, Sierra Leone, Somalia, Yemen"
