"Species","Forest","Savanna","Shrubland","Grassland","Wetlands","Rocky areas","Caves and Subterranean Habitats","Desert","Marine Neritic","Marine Oceanic","Marine Deep Ocean Floor","Marine Intertidal","Marine Coastal/Supratidal","Artificial/Terrestrial","Artificial/Aquatic","Introduced Vegetation","Other","Unknown"
355,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2652,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
543,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1434,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2122,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
944,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2744,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2332,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3274,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
916,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
915,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1021,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
597,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
690,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
